,Team1,Team2,Team1 points,Team2 points,1,X,2
0,NK Dugopolje,NK Jarun,1,0,1.045,9.25,61.00
1,Dibba,Al Dhafra SSC,1,1,1.80,2.55,5.25
2,FK Liepaja,Riga FC,0,2,46.00,18.00,1.008
3,FK Sloga Doboj,HSK Zrinjski Mostar,1,2,19.50,6.50,1.11
4,Valmiera FC,FK Auda,1,0,1.17,5.50,14.50
5,1. FC Magdeburg,1. FC Nuremberg,,2.20,3.60,3.00,
6,1. FC Cologne,Hertha BSC,,1.93,3.70,3.75,
7,Lazio,US Lecce,,1.66,3.60,5.75,
8,Bayern Munich,Schalke 04,,1.12,8.50,16.00,
9,Eintracht Frankfurt,FSV Mainz,,2.10,3.60,3.20,
10,Union Berlin,SC Freiburg,,2.15,3.20,3.50,
11,VfL Bochum,FC Augsburg,,2.10,3.50,3.30,
12,VfL Wolfsburg,TSG Hoffenheim,,1.93,3.80,3.60,
13,Borussia Dortmund,Borussia Monchengladbach,,1.24,7.00,10.00,
14,RB Leipzig,Werder Bremen,,1.26,6.50,10.00,
