,Team1,Team2,Team1 points,Team2 points
0,Perry Lakes Hawks,Lakeside Lightning,80,71
1,Mersin BSB,Cagdas Bodrum,40,40
2,Demir Insaat Buyukcekmece,Pinar Karsiyaka,,
3,Leeuwarden,ZZ Leiden,,
4,Lietkabelis,Juventus,,
5,TenerifeESP,Hapoel JerusalemISR,,
6,F.C. Barcelona,Monbus Obradoiro,,
7,AS Monaco,Le Mans,,
8,Unicaja MalagaESP,Telekom Baskets BonnGER,,
9,Valencia Basket,Real Madrid,,
10,New York Knicks,Miami Heat,,
11,Golden State Warriors,Los Angeles Lakers,,
12,Philadelphia 76ers,Boston Celtics,,
